train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/gradient_layer_0,train/gradient_layer_1,train/gradient_layer_2,train/gradient_layer_3,train/gradient_layer_4,train/gradient_layer_5,train/gradient_layer_6,train/gradient_layer_7,train/gradient_layer_8,train/gradient_layer_9,train/gradient_layer_10,train/gradient_layer_11,train/n_updates,train/clip_range
0.0003,-0.5729419328272343,-0.0042913762663374655,58.60760223865509,0.002309058,0.01171875,22.93943214416504,3.6675258,0.05871643,11.842316,0.055997364,4.3821816,1.8405433,20.653116,1.0970511,0.68903553,0.013108542,6.3922796,0.38669804,71,0.2
0.0003,-0.5705480352044106,-0.006109055010407853,53.73761055866877,0.00328298,0.0224609375,15.081998825073242,3.674083,0.0588293,11.846237,0.051347252,4.382689,1.8579928,20.72599,1.1056579,0.69230103,0.012358528,6.4943185,0.3975524,72,0.2
0.0003,-0.5685505769215524,-0.006688515946734697,49.41583630442619,0.0036467176,0.0281982421875,11.066200256347656,3.682148,0.05915261,11.851202,0.050927427,4.386503,1.8701096,20.790892,1.1109673,0.69714993,0.012295783,6.5937924,0.40819117,73,0.2
0.0003,-0.567122469842434,-0.007284653891110793,45.62957020998001,0.003585208,0.0318359375,11.40127182006836,3.6908326,0.06193462,11.85672,0.05416147,4.3945065,1.8757756,20.849144,1.1125234,0.7007667,0.013026143,6.6894717,0.41846648,74,0.2
0.0003,-0.566034659743309,-0.007787260910845362,42.325638100504875,0.003680175,0.033365885416666664,7.25171422958374,3.7028036,0.06683967,11.86419,0.052342445,4.4015965,1.8819599,20.897331,1.1144886,0.7056198,0.012554062,6.7824187,0.42855427,75,0.2
0.0003,-0.5654423396502223,-0.008323426237828764,39.484116801193785,0.0042941472,0.03669084821428571,13.977065086364746,3.7160273,0.07122777,11.8708105,0.05488794,4.409849,1.8843563,20.937254,1.1140603,0.70934224,0.012838851,6.8682957,0.43790212,76,0.2
0.0003,-0.5644402483012527,-0.008552269828214776,37.0514316521585,0.004798536,0.0396728515625,6.0293121337890625,3.727972,0.08083714,11.877684,0.062603496,4.4183216,1.8833655,20.95864,1.1120877,0.71085393,0.014230591,6.943774,0.44617164,77,0.2
0.0003,-0.5629433087176747,-0.008337490509600483,34.991905099815796,0.006131066,0.043131510416666664,2.224686622619629,3.7457542,0.086451285,11.888564,0.055101972,4.4330883,1.8733859,20.970373,1.1046323,0.7169204,0.011123278,7.0083857,0.45315775,78,0.2
0.0003,-0.5625535363331438,-0.00854447012534365,33.24608061760664,0.0046489397,0.044775390625,2.8619322776794434,3.7503932,0.08963266,11.893837,0.07464034,4.4412937,1.8680984,20.967854,1.1000578,0.71323967,0.01590935,7.055453,0.4582491,79,0.2
0.0003,-0.5734164137393236,-0.004040881394757889,46.957752108573914,0.0010591425,0.00634765625,15.770312309265137,3.7623563,0.08999064,11.8988905,0.07119354,4.4278793,1.9095571,21.020542,1.123414,0.71403444,0.014761653,7.128264,0.46654874,80,0.2
0.0003,-0.5726055474951863,-0.006692577575449832,42.934026539325714,0.006972611,0.055908203125,37.740238189697266,3.7648232,0.08974995,11.90098,0.068677634,4.4338803,1.9298056,21.100414,1.1335505,0.7125252,0.014083363,7.2141275,0.47606272,81,0.2
